variables,source_responses,source_items,source_pageviews,source_media,source_checkpoints_pulse,source_checkpoints_eoc,description,notes
idle_long,NA,NA,page_views,NA,NA,NA,"The sum of times that the user was considered""idle"" for a""long"" period of time. A user is considered""idle"" if they are on the page but are not""engaged"". The time period is considered""long"" if it is more than 15 minutes.",
institution_id,responses,items,page_views,media_views,checkpoints_pulse,NA,a unique identifier for the institution the class was taken at,
item_id,responses,items,NA,NA,NA,NA,a unique identifier for this particular question ,
item_type,responses,items,NA,NA,NA,NA,whether this is a learnosity (question about non-coding content)  item or a coding item,"""learnosity"" is a software platform for generating questions and assessments.  A ""learnosity item"" is one created in this platform and will be a question or activity assessing the content of the book. A coding item will one in which the student enters or corrects R code."
lrn_activity_reference,responses,items,NA,NA,NA,NA,the unique ID for the activity on Learnosity,
lrn_dt_saved,responses,NA,NA,NA,NA,NA,a datetime object indicating when the responses was saved (timezone: GMT/UTC),
lrn_dt_started,responses,NA,NA,NA,NA,NA,a datetime object indicating when the responses was started (timezone: GMT/UTC),
lrn_option_0,responses,NA,NA,NA,NA,NA,"the status of the item on Learnosity (e.g.""published"")",
lrn_option_1,responses,NA,NA,NA,NA,NA,"for Learnosity items that have multiple answer options (like multiple-choice, Likert ratings, etc.) these are the 0-indexed options the student could choose from (i.e., the first answer choice is represented with 0; second answer choice is represented as 1)",
lrn_option_10,responses,NA,NA,NA,NA,NA,,
lrn_option_11,responses,NA,NA,NA,NA,NA,,
lrn_option_2,responses,NA,NA,NA,NA,NA,,
lrn_option_3,responses,NA,NA,NA,NA,NA,,
lrn_option_4,responses,NA,NA,NA,NA,NA,,
lrn_option_5,responses,NA,NA,NA,NA,NA,,
lrn_option_6,responses,NA,NA,NA,NA,NA,,
lrn_option_7,responses,NA,NA,NA,NA,NA,,
lrn_option_8,responses,NA,NA,NA,NA,NA,,
lrn_option_9,responses,NA,NA,NA,NA,NA,,
lrn_question_position,responses,items,NA,NA,NA,NA,"for multi-question items, the position of the question in the item",
lrn_question_reference,responses,items,NA,NA,NA,NA,the unique ID for the question on Learnosity,
lrn_response_id,responses,NA,NA,NA,NA,NA,the unique ID for this particular response on Learnosity,
lrn_status,responses,NA,NA,NA,NA,NA,"the status of the question response on Learnosity (e.g.""Completed"")",
lrn_template_name,NA,items,NA,NA,NA,NA,the template used to create the item,
lrn_type,responses,items,NA,NA,NA,NA,"the Learnosity type of the question (e.g. mcq, shorttext, plaintext, rating, etc.)",
media_id,NA,NA,NA,media_views,NA,NA,the unique identifier for the video,
n_attempt,NA,NA,NA,NA,NA,checkpoints_eoc,"The number of attempts to answer the end of chapter questions as a whole. For example, if there were three questions, and the 2nd question was attempted twice, the n_attemps is 4.",
n_correct,NA,NA,NA,NA,NA,checkpoints_eoc,The number of end-of-chapter questions that were correct for the current chapter,
n_possible,NA,NA,NA,NA,NA,checkpoints_eoc,The number of end-of-chapter questions for the current chapter and so the highest possible score.,
off_page_brief,NA,NA,page_views,NA,NA,NA,"The sum of timet the user was considered""off page"" for a""brief"" period of time. A user is considered""off page"" if they have the page open but the page is not focused (e.g.it is open in another tab or the browser is not the active program). The time period is considered""brief"" if it is less than 15 minutes.",
off_page_long,NA,NA,page_views,NA,NA,NA,"The sum of the periods that the user was considered""off page"" for a""long"" period of time. A user is considered""off page"" if they have the page open but the page is not focused (e.g. it is open in another tab or the browser is not the active program). The time period is considered""long"" if it is more than 15 minutes.",
page,responses,items,page_views,media_views,NA,NA,"the page that the item appears on; includes the title, chapter and section.",
page_num,responses,NA,page_views,media_views,NA,NA,"the page that the item appears on (as a number; 4.1, the first page in chapter 4, is represented as 4.01 in order to distinguish it from 4.10, the 10th page in chapter 4)",
points_earned,responses,NA,NA,NA,NA,NA,the number of points earned,
points_possible,responses,NA,NA,NA,NA,NA,the number of points possible if the completely correct answer is given,
prompt,responses,NA,NA,NA,NA,NA,the question prompt for this response,
proportion_time,NA,NA,NA,media_views,NA,NA,"the proportion of the full video runtime that the student has spent watching a video, regardless of which part of the video they watched (e.g. if the video is 10 seconds long, and the student watches the first 5 seconds three times, this value should be 1.5)",
proportion_video,NA,NA,NA,media_views,NA,NA,"the proportion of the video that student has watched, summed across all interactions with the video",
release,responses,NA,page_views,media_views,checkpoints_pulse,NA,"release version (version of the book, e.g., 5.0.1, 5.1, 5.3); named for the github branch for the materials",
response,responses,NA,NA,NA,checkpoints_pulse,NA,"the value of the response: either the value (for shorttext, plaintext, ratings, datacamp, etc.) or an array of numbers indicating the position of the multiple choice answers chosen and which correspond to the columns lrn_option_.",
review_flag,responses,items,page_views,media_views,NA,NA,indicates whether the item was part of a chapter review,
section_number,NA,items,NA,media_views,NA,NA,"The section number of a page. For example, for page 1.04 the section number is 4.",
student_id,responses,NA,page_views,media_views,checkpoints_pulse,checkpoints_eoc,unique id identifying a student,
tried_again_clicks,NA,NA,page_views,NA,NA,NA,"Number of ""try again"" clicks (once students complete a page, they can reset the page to ""try again"") regardless of whether that ""try again"" button was pushed on this access time",
tried_again_dt,NA,NA,page_views,NA,NA,NA,"A datetime object indicating the latest time when the ""try again"" button was clicked (timezone: GMT/UTC)",
user_agent,responses,NA,NA,NA,NA,NA,"the browser user agent string for the user (see for details: https://developer.chrome.com/multidevice/user-agent; also, this R package for parsing: uaparserjs)",
was_complete,NA,NA,page_views,NA,NA,NA,"When the student accessed the page, were they coming back after already having completed it?",
